#09.2015
['28.09.2015', '28.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['28.09.2015', '28.09.2015', '100', '600', '0.456', '0.789', '1.479', '483', '1547', '1064', '46', '394.50', '686.26', '1126.36']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2010', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '777', '777', '46', '394.50', '261.78', '701.88']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['02.03.2000', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '899', '899', '46', '394.50', '442.22', '882.32']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '899', '899', '46', '394.50', '442.22', '882.32']s 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '9000', '9000', '46', '394.50', '12423.60', '12863.70']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '9000', '9000', '46', '394.50', '12423.60', '12863.70']s 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '123', '987', '864', '46', '394.50', '390.46', '830.56']r 
['01.01.2001', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '123', '987', '864', '46', '394.50', '390.46', '830.56']s 
['01.01.2000', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '123', '987', '864', '46', '394.50', '390.46', '830.56']s 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '100', '46', '0.00', '0.00', '45.60']r 
['27.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '100', '46', '0.00', '0.00', '45.60']s 
['30.09.2015', '30.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['30.09.2015', '30.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['30.09.2015', '30.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '345', '345', '46', '193.31', '0.00', '238.91']r 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '345', '345', '46', '193.31', '0.00', '238.91']s 
