#09.2015
['01.01.2000', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']
['02.03.2000', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['01.01.2001', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']
['29.09.2010', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '341', '46', '190.15', '0.00', '235.75']
['10.10.2011', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '155', '46', '43.40', '0.00', '89.00']
['10.10.2012', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']
['10.10.2013', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '98', '45', '0.00', '0.00', '44.69']
['10.10.2014', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '98', '45', '0.00', '0.00', '44.69']
['19.08.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '256', '256', '46', '123.08', '0.00', '168.68']
['27.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '100', '46', '0.00', '0.00', '45.60']
['28.09.2015', '28.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['29.09.2015', '29.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['30.09.2015', '30.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['01.10.2015', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']
['03.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '405', '400', '46', '236.70', '0.00', '282.30']
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '105', '100', '46', '0.00', '0.00', '45.60']
['08.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']
['09.10.2015', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '138', '46', '29.98', '0.00', '75.58']
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '280', '46', '142.02', '0.00', '187.62']
['12.10.2015', '12.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '134', '46', '26.83', '0.00', '72.43']
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']
['15.10.2015', '15.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '112', '112', '45.60', '9.47', '0.00', '55.07']
['20.10.2015', '20.10.2015', '107', '607', '0.457', '0.787', '1.477', '0', '0', '108', '48.90', '0.79', '0.00', '49.69']
['25.10.2015', '25.10.2015', '100', '600', '0.456', '0.789', '1.479', '600', '800', '200', '45.60', '78.90', '0.00', '124.50']
['31.10.2015', '25.10.2015', '100', '600', '0.456', '0.789', '1.479', '600', '750', '150', '45.60', '39.45', '0.00', '85.05']
['02.03.2016', '02.03.2016', '100', '200', '0.500', '1.000', '2.000', '0', '700', '700', '50.00', '100.00', '1000.00', '1150.00']
